_date,total_views,unique_views
2026-07-01,0,0
2026-07-02,0,0
2026-07-03,0,0
2026-07-04,0,0
2026-07-05,0,0
2026-07-06,0,0
2026-07-07,0,0
2026-07-08,0,0
2026-07-09,0,0
2026-07-10,0,0
2026-07-11,0,0
2026-07-12,0,0
2026-07-13,0,0
2026-07-14,0,0
2026-07-15,0,0
2026-07-16,0,0
2026-07-17,0,0
2026-07-18,0,0
2026-07-19,0,0
2026-07-20,0,0
2026-07-21,0,0
2026-07-22,0,0
2026-07-23,0,0
2026-07-24,0,0
2026-07-25,0,0
2026-07-26,0,0
2026-07-27,0,0
2026-07-28,0,0
2026-07-29,0,0
2026-07-30,0,0
2026-07-31,0,0
2026-08-01,0,0
2026-08-02,0,0
2026-08-03,0,0
2026-08-04,0,0
2026-08-05,0,0
2026-08-06,0,0
2026-08-07,0,0
2026-08-08,0,0
2026-08-09,0,0
2026-08-10,0,0
2026-08-11,0,0
2026-08-12,0,0
2026-08-13,0,0
2026-08-14,0,0
2026-08-15,0,0
2026-08-16,0,0
2026-08-17,0,0
2026-08-18,0,0
2026-08-19,0,0
2026-08-20,0,0
2026-08-21,0,0
